judul_film,ringkasan_sinopsis,genre
Jampang,Jampang (Barry Prima) sangat benci pada penindasan. Frans (Rudy Wahab) terbunuh karena mencoba memperkosa dan membunuh Rabiah (Arni Kasidi). Pokoknya di kampung Cemara itu Jampang selalu menumpas keangkaramurkaan. Setelah Frans korban berikutnya antara lain Ibnu (Yoseph Hungan) adiknya sendiri.,Laga
Java Burn,Gang belakang adalah rumah bagi Nicky yang menangani wanita dan tinjunya dengan gaya yang sama. Ketika dia tanpa sadar mengatur pacarnya dalam sebuah plot pembunuhan dia melarikan diri hanya untuk menjadi target berikutnya si pembunuh dan sekarang Nicky harus menyelamatkannya dan dirinya sendiri.,Laga
Killers,Nomura seorang pembunuh berantai yang berbasis di Tokyo mengunggah film cabulnya ke web agar penonton global dapat melihatnya. Salah satu penampil Nomura adalah seorang jurnalis Indonesia Bayu yang kehidupan pribadinya dan pribadinya telah turun ke bawah mengikuti sepotong karya yang ditulisnya tentang seorang politisi yang sangat korup. Ketika Bayu secara tidak sengaja menewaskan dua perampok sadis dia memutuskan untuk mengunggah saat-saat terakhir mereka hidup ke Internet mendorong Nomura untuk melakukan kontak dengannya. Terikat oleh tidak ada kesamaan tetapi rahasia yang mematikan kehidupan kedua pria ini terungkap dan terjalin saat mereka menggali lebih dalam dan lebih dalam ke sisi gelap.,Laga
Mafia insyaf,Macan Polkadot selama ini dikenal sebagai gank mafia yang cukup ditakuti dipimpin oleh Dewi memiliki 3 anak laki-laki: Kendra Romi dan Jodi. Dewi merasa sudah tua dan ingin Kendra mewarisi usaha keluarganya. Dewi meminta Kendra mencari calon istri. Sampai akhirnya Kendra tak sengaja bertemu dengan Selma yang ternyata bekerja sebagai komisaris polisi. Selma sering menyamar untuk menuntaskan setiap kasusnya. Selma membuat hidup Kendra bergairah lagi. Hubungan Selma dan Kendra menjadi dekat. Untuk menutupi identitasnya Kendra mengaku bekerja di yayasan sosial dan Selma mengaku bekerja sebagai pegawai negeri. Sampai akhirnya Selma mengaku bahwa dia sebenarnya polisi yang menyamar untuk mengungkap kasus-kasus penyelundupan penggelapan pajak dan mafia. Kendra terkejut mengetahuinya. Selma shock mengetahui identitas Kendra yang sebenarnya. Kendra berjanji pada Selma jika suatu saat dia terlibat urusan kriminal Selma boleh menangkap dengan tangannya sendiri. Sayangnya Kendra terpaksa terlibat dalam perkelahian ketika kedua adiknya diculik gank Kampak Ungu. Sesuai janjinya Kendra membiarkan Selma menangkapnya. Selma sedih mendapati kenyataan itu. Kendra Romi dan Jodi menjalani pengadilan. Mereka berhadapan dengan Bobi jaksa yang jatuh hati pada Selma yang menjadi jaksa penuntut dalam kasus perkelahian antar gank itu. Akankah Kendra dan adik-adiknya menang dalam kasus ini? Bagaimana akhir kisah cinta antara Kendra dan Selma?,Laga
Membakar gairah,"Natasha (Debby Carol) kesulitan mengumpulkan kembali hak miliknya dari peninggalan ayahnya,karen melibatkan sindikat intenasional yang diketuai oleh Leon Logo (Golden Kasmara). Untuk ini ia dibantu oleh Jack (Barry Prima)",Laga
Merantau,"Di Minangkabau Sumatera Barat Yuda seorang praktisi Silat Harimau yang terampil sedang dalam persiapan terakhir untuk memulai ""Merantau"" sebuah ritus peralihan yang berusia satu abad untuk dilakukan oleh pemuda-pemuda komunitas yang akan melihat dia meninggalkan kenyamanannya. desa pertanian yang indah dan membuat nama untuk dirinya sendiri di kota Jakarta yang ramai. Setelah serangkaian kemunduran meninggalkan Yuda tunawisma dan tidak yakin tentang masa depannya yang baru sebuah kesempatan menemukan hasil dalam dirinya membela Astri yatim dari menjadi korban terbaru dari cincin perdagangan manusia Eropa yang dipimpin oleh psikotik Ratger dan tangan kanannya Lars . Dengan Ratger terluka di mêlée dan mencari ""barang dagangannya"" dan retribusi berdarah perkenalan Yuda ke kota yang ramai ini adalah baptisan api karena ia dipaksa untuk pergi dalam pelarian bersama Astri dan Adit adiknya karena semua mucikari dan gangster yang mendiami malam memburu jalanan mengejar setiap langkah mereka. Dengan melarikan diri yang tampaknya berada di luar jangkauan mereka Yuda tidak punya pilihan selain menghadapi penyerangnya dalam adrenalin yang bermuatan akhir yang mengejutkan.",Laga
Misi Garuda 7 Selanjutnya,Anggota Garuda 7 memiliki tugas baru untuk menjatuhkan basis al Qaeda di Aceh yang juga ingin mencuri harta nasional di Wilayah Indonesia.,Laga
Noda X,"Ramon (Barry Prima), bekas anak kapal, beruntung dapat pemodal hingga usahanya maju pesat, bahkan mendapat tender parik baja seharga ratusan juta. Dalam usaha ini ia dibantu Jimmy (August Melasz), yang culas dan bekerjasama dengan Kurdi (Zainal Abidin) dalam perdagangan narkotika dan wanita. Modal yang dipakai adalah modal usaha Ramon, yang karena simpati pada istri Kurdi, Anita (Eva Arnaz), juga karena tidak tahu dipermainkan Jimmy. Maka Pemodal menarik modal. Hidup Ramon berantakan, Karena tidak pakai surat hutang, maka Ramon bertindak sendiri memakai hukum rimba. bekerja sama dengan sebuah kelompok penjahat lain. Akhirnya antar penjahat itu bentrok, begitu juga Ramon dan kawan-kawannya. Ia tertangkap saat akan melarikan diri ke luar negeri lewat laut. Peristiwa tertangkapnya ini hanya dalam bentuk tulisan di akhir film. Begitu juga sepanjang film, boleh dikata seolah polisi tidak berdaya menyikap berbagai pembunuhan yang dilakukan Ramon.",Laga
Penakluk srigala,Seorang pengusaha muda bekerja sama dengan fotografer berkali-kali menjebak gadis-gadis model memperkosanya dan mengirimkannya ke luar Jawa. Sebagian gadis yang lolos kemudian membentuk kesatuan bernama Srigala-Srigala Betina dengan niat membalas dendam. Kegiatan kelompok ini tercium oleh yang berwajib. Maka ketika kelompok betina ini mengobrak-abrik sindikat pengusaha kotor itu sebagian mereka terpaksa ditangkap. Mengetahui situasi yang semakin tidak aman pengusaha muda itu memindahkan sementara usahanya ke Palembang. Berkat bantuan dari seorang Tekab yang kebetulan pacar dari pimpinan kelompok betina itu sindikat kotor itu berhasil ditumpas.,Laga
Perawan rimba,Ketika sebuah pesawat terbang jatuh di sebuah pulau terpencil yang selamat hanya Jelita gadis kecil berusia balita dan ayahnya. Tetapi keduanya terpisah. Di pulau itu hidup dua kelompok suku terasing yang belasan tahun kemudian menarik para antropolog untuk menyelidikinya. Penyelidikan pertama yang dipimpin oleh Prof. Seno mengalami kegagalan. Datang penyelidik berikutnya dipimpin Haidar didampingi oleh seorang Pemburu Tua. Penyelidikan ini pun nyaris gagal karena mendapat ancaman dari kelompok pemburu harta karun yang membunuh Prof. Seno. Suatu ketika Jelita dewasa (Lydia Kandou) yang telah menjadi Perawan Rimba berhasil menyelamatkan Ekpedisi Haidar yang mendapat serangan suku terasing. Peristiwa itu sekaligus mempertemukan Jelita dengan Pemburu Tua yang ternyata ayahnya yang kemudian meninggal karena lukanya.,Laga
Perempuan Bergairah,Renny Basuki (Arnaz) adalah seorang wanita muda dan mantan juara judo yang setelah kematian ayahnya mencoba untuk merawat keluarganya yang miskin. Ketika adik laki-lakinya didiagnosa dengan penyakit mematikan dia sangat ingin membayar biaya operasinya. Suatu hari Indra (Prima) seorang manajer gulat profesional menawarkan Renny dan temannya Mia (Diana Suarkom) untuk bergabung dengan rombongan gulat perempuan. Mereka setuju tetapi ibu Renny tidak menyetujui karir gulatnya.,Laga
Persepsi,Seorang ilusionis yang sangat sukses dan terkenal menantang empat peserta untuk bertahan tinggal di rumahnya yang terkenal di mana pembunuhan yang mengerikan terjadi.,Laga
Pertualangan Sherina,Petualangan seorang gadis kecil yang baru saja pindah ke kota baru dan bertemu dengan teman baru,Laga
Rage and Honor II,Kris dan Preston sekali lagi untuk menghadapi gangster kuat Buntao. Tapi Buntao punya masalah sendiri berurusan dengan Dazo gangster lain yang terus meningkat,Laga
Rahasia patukan cobra,Kisah seorang bekas narapidana yang membalas dendam kawan-kawannya sendiri yang menipunya hingga ia masuk penjara. Lima belas tahun di penjara tidak menghilangkan dendamnya. Satu per satu bekas kawan-kawannya dibabat sampai polisi turun tangan menghentikan semuanya.,Laga
Rasa,Setelah menculik anak perempuannya yang berusia sepuluh tahun di Jakarta Profesor Anthony Collins dipaksa untuk memulihkan artefak kuno sebagai tebusan untuk hidupnya. Jalannya terjerat dengan seorang seniman muda yang disebut Rianti yang firasat orang-orang sebelum mereka mati dapat membantu Anthony menyelamatkan nyawa putrinya. Anthony Rianti dan cinta dalam hidupnya semuanya berada dalam bahaya ketika para penculik menutupi agenda yang melampaui uang tebusan.,Laga
Sajadah ka'bah,Rhoma Irama seorang musafir yang sedang mengunjungi masjid-masjid di Lombok dalam rangka silahturahmi dan syiar ukhuwah islamiyah dengan para pengurus masjid disana yang tergabung dalam forum Fahmi Tamami. Dibantu sahabatnya Fahru Rhoma bertemu dan berkenalan dengan para pemuka agama di Lombok hingga tanpa sengaja Rhoma bertemu dengan seorang janda Sohiba yang memiliki seorang putri Saimah yang masjidnya menjadi incaran Towi seorang pengusaha yang berniat mengubah masjid dan rumah Sohiba tesebut menjadi tempat perjudian terbesar di Lombok. Towi juga telah berhasil memanipulasi Ridho anak Rhoma sehingga Rhoma bukan hanya mendapat tentangan dari Towi dan para begundalnya semata melainkan juga dari anaknya sendiri di dalam menghalangi usaha perebutan masjid dan tanah Sohiba yang di incar Towi. Ridho menentang ayahandanya karena tercampur dengan rasa cintanya kepada putri tunggal Towi. Tak rela melihat masjid di alih fungsikan menjadi tempat perjudian Rhoma akhirnya menerima tantangan berduel dengan Towi untuk menentukan siapa yang berhak atas masjid dan rumah Sohiba sementara itu anak buah Towi mengintimidasi Sohiba dan putrinya serta merampas selembar sajadah bergambar ka’bah yang baru ditenun Sohibah.,Laga
Saur sepuh 3: Kembang gunung lawu,Lasmini (Murti Sari Dewi) yang diperkosa dan dibuang ke jurang diselamatkan oleh Nenek Lawu (Corry Mochtar). Ia kemudian diajari silat sampai sang nenek meninggal. Lasmini turun gunung mencari pemerkosanya. Satu per satu dibalasnya. Suatu ketika ia bentrok dengan Mantili (Elly Ermawatie) gara-gara ia akrab dengan Bentar (Candy Satrio). Lasmini pulang ke Gunung Lawu dan mendapat warisan silat lagi. Setelah menguasai jurus baru ia kembali menantang jago-jago silat. Ia pun menang. Sementara Mantili diajari jurus baru lagi oleh Brama (Fendy Pradana) dan menantang Lasmini. Kali ini Lasmini yang kalah.,Laga
Saur Sepuh III: Kembang Gunung Lawu,Lasmini (Murti Sari Dewi) yang diperkosa dan dibuang ke jurang diselamatkan oleh Nenek Lawu (Corry Mochtar). Ia kemudian diajari silat sampai sang nenek meninggal. Lasmini turun gunung mencari pemerkosanya. Satu per satu dibalasnya. Suatu ketika ia bentrok dengan Mantili (Elly Ermawatie) gara-gara ia akrab dengan Bentar (Candy Satrio). Lasmini pulang ke Gunung Lawu dan mendapat warisan silat lagi. Setelah menguasai jurus baru ia kembali menantang jago-jago silat. Ia pun menang. Sementara Mantili diajari jurus baru lagi oleh Brama (Fendy Pradana) dan menantang Lasmini. Kali ini Lasmini yang kalah.,Laga
Si Buta Dari Gua Hantu,Sebuah desa kecil yang aman dikacau oleh orang buta bernama Mata Malaikat (Maruli Sitompul). Pakti Sakti (Alam Surawidjaya) ayah Barda Mandrawata (Ratno Timoer) yang tersohor dalam dunia persilatan mati di tangan Mata Malaikat. Barda menuntut balas setelah berbagai usaha meningkatkan ilmunya. Setelah dendam terbalas ternyata soal belum selesai karena Sapu Jagat (Kusno Sudjarwadi) masih menghadang. Sapu Jagat tidak dibunuh meski sudah menyerah dan Marni (Sri Rejeki) sudah jadi istri Barda. Barda kembali mengembara. Salah satu film laga silat yang banyak dipuji.,Laga
Si Rawing,Kisah balas dendam tapi disertai humor. Darma alias Si Rawing (EK Soemadinata) setelah dewasa dan selesai menuntut ilmu silatnya turun gunung mencari pembunuh ayahnya dan penculik ibunya. Macam-macam peristiwa perkelahian dan senjata yang harus dihadapinya sebelum akhirnya berhasil mengalahkan pembunuh ayahnya. Ia sempat kalah dulu dan kena racun musuh lalu dibantu oleh seorang nenek yang ternyata istri gurunya.,Laga
Singgasana Brama Kumbara,Brama kumbara harus kehilangan ayahnya dan ibunya. Dia ditolong oleh senopati Aragani diajari ilmu kanuragan. Dalam perjalanan mereka bertemu dengan anak bengal yang suka maling. Aragani mau mendidik anak ini agar menjadi benar malah diambil untuk dijadikan murid oleh penjahat.,Laga
Triangle: the Dark Side,"Deddy (Deddy Corbuzier), pembunuh bayaran, yang tergabung dalam sebuah organisasi rahasia, mengalami trauma mendalam saat istri yang dicintainya terbunuh. Ia memutuskan untuk berhenti. Namun, masih ada sebuah kontrak terakhir yang harus ia selesaikan sebelum dapat keluar dari dunia hitam. Target akhirnya adalah Volland (Volland Humonggio), mafia kejam yang memiliki seorang adik wanita, Chika (Chika Jessica). Dalam proses penyamaran ini Deddy mulai dekat dan jatuh cinta pada Chika. Dengan masa lalu yang kelam, keinginan untuk berhenti dan tugas akhirnya, ia menghadapi pilihan sulit: membunuh sasarannya dan kehilangan cinta barunya atau memutuskan untuk berhenti satu pihak dengan resiko dirinya dan kekasihnya akan dihabisi oleh organisasinya.",Laga
Street Society,"Target akhirnya adalah Volland (Volland Humonggio), mafia kejam yang memiliki seorang adik wanita, Chika (Chika Jessica). Dalam proses penyamaran ini Deddy mulai dekat dan jatuh cinta pada Chika. Dengan masa lalu yang kelam, keinginan untuk berhenti dan tugas akhirnya, ia menghadapi pilihan sulit: membunuh sasarannya dan kehilangan cinta barunya atau memutuskan untuk berhenti satu pihak dengan resiko dirinya dan kekasihnya akan dihabisi oleh organisasinya.",Laga
Tarung: City of the Darkness,"Jamal (Tanta Ginting), tukang ojek yang hobi main catur, bermimpi ingin membuka usaha cuci motor di dekat pangkalan ojeknya. Rodiah, ibu Jamal, mengancam jika Jamal tidak segera mengubah hidupnya, tanah keluarga yang menjadi jatahnya akan menjadi milik sepupunya. Dalam urusan asmara pun Jamal mendapatkan tantangan dari orangtua Mirna (Andi Anissa) karena pekerjaannya yang tidak jelas.Suatu hari Jamal diminta Ivan, yang dikenalnya secara tidak sengaja, untuk mengantar Dito (Donny Alamsyah), kurir heroin, ke Bos Tanah Tinggi (Cecep Arif Rahman). Jamal diberi uang muka 10 juta dan imbalan 90 juta jika sanggup menyelesaikan tugasnya. Karena belum pernah melihat uang sebanyak itu, Jamal langsung menyanggupinya.Ivan tahu bahwa Dito sedang diincar oleh Mami Tuti (Hannah Al Rashid), bandar judi yang dendam pada Dito karena membuat adiknya patah hati dan menjadi pecandu. Setelah memberi tugas ini ke Jamal, Ivan kabur ke Hong Kong bersama istrinya.Mengantar Dito ternyata tidak semudah bayangan Jamal. Mereka berdua harus menghadapi anak buah Mami Tuti. Arini, anak Dito, adalah alasan Dito untuk menghentikan Bos Tanah Tinggi yang akan menyebarkan heroinnya ke dalam permen. Dito takut kalau Arini menjadi korban",Laga
The Mentalist,"""The Mentalist"" bercerita tentang dua mentalis Deddy Corbuzier dan Ronggo Sewu (Limbad) bersaing untuk menunjukan siapa yang paling hebat. Ronggo Sewu yang dulunya asisten Deddy Corbuzier memfitnah Deddy Corbuzier dengan menggunakan ilmu sihir dalam setiap atraksi sulapnya. Hal ini tidak bisa diterima Deddy Corbuzier. Permusuhan dan dendam di antara keduanya tidak bisa dihindarkan. Mereka terjun ke dalam permainan berbahaya di mana nyawa menjadi taruhannya",Laga
The Night Comes for Us,Ito (Joe Taslim) seorang penegak hukum geng ditangkap di tengah-tengah pemberontakan berbahaya dan kejam dalam keluarga kejahatan Triad setelah pulang dari tugasnya di luar negeri.,Laga
The Raid: Redemption,Di Jakarta Indonesia Letnan Wahyu mengatur invasi sebuah gedung apartemen yang merupakan rumah aman dari penguasa obat yang kuat dan kejam Tama dan gengnya. Tim SWAT menerobos masuk gedung tetapi satu pengintai melihat dan memperingatkan para gangster dan pasukan polisi terperangkap di lantai ketujuh. Mereka belajar bahwa Lt. Wahyu tidak memberi tahu atasannya tentang operasi itu. Sekarang petugas polisi harus bertarung dengan amunisi terbatas melawan gangster bersenjata dan berbahaya.,Laga
Triangle the Dark Side,Seorang pensiunan Hitman dipaksa untuk menyelesaikan misi terakhirnya tetapi jatuh cinta dengan saudara perempuan targetnya. Sekarang dia harus memilih antara Cinta dan Logika.,Laga
X- The Last Moment,Dido Ikang Ijul Anung dan Angga adalah 5 sahabat kecil yang bertemu kembali dalam situasi dan keadaan yang jauh berbeda. 13 tahun yang lalumereka pernah bersumpah untuk bertemu namun pertemuan kali ini justru tidak nyaman karena kali ini mereka bertemu dalam lingkaran setan yang bernama “narkoba”. Mereka berlima berusaha terlihat normal dan menyembunyikan keterlibatan mereka dengan narkoba. Namun topeng mereka pun terbuka.,Laga
You Can't Hear Me. You Can't See Me,Mickey (mute burglar) dan Mo (blind ex soldier) adalah dua pelamar yang memperjuangkan kasih sayang Mei (penyanyi buta). Tetapi ketika sebuah kultus jahat yang disebut Pristines menargetkan Mei. Mickey dan Mo harus bergabung untuk melawan kultus.,Laga
Rio sang juara,"Rio harus menggunakan kepalan tangannya untuk hidup sebagai tukang parkir liar. Ketika masalah parkir itu dibenahi pemerintah daerah, maka ia kehilangan sumber hidupnya. Apa yang akan ia lakukan?",Laga
Perawan lembah wilis,"Raden Sindupati (Baron Hermanto), perwira Blambangan, mengadu domba kerajaan Panjalu dan Jenggala, agar tahta kedua kerajaan itu jatuh ke Blambangan. Ia bekerja sama dengan patih Blambangan. Adu domba ini nyaris berhasil, meski akhirnya ketahuan siapa biang keladinya. Tangan kanannya, Prabangkoro (Wingky Haroen), dalam keadaan terluka membuka rahasia itu pada Endang Patibroto (Yunita Sarah Boom), putri Jenggala. Sementara itu Panjalu minta bantuan Tejolaksono (Barry Prima), karena perseteruan dengan Jenggala semakin memuncak. Di tengah jalan menuju Panjalu, Tejolaksono bertemu juga dengan Prabangkoro yang sekarat. Maka ia berbelok menuju Blambangan. Bersama dengan Endang ia lalu menewaskan Sindupati, yang telah membunuh raja dan patih Blambangan, hingga sudah mimpi berkuasa sendiri.",Laga
Suromenggolo,"Kisah kerajaan Islam yang baru berdiri di daerah Ponorogo yang dipimpin Bathara Kantong (Yan Bastian) dengan pengawal setianya yang menjadi demang Wonokerto, Warok Suromenggolo (Benny G. Rahardja). Kehadiran kerajaan ini tak disukai Ki Demang Suryo Alam (Sunaryo Yakso), yang kemudian memimpin pertempuran untuk membunuh Bhatara Kantong. Yang terbunuh justru Ki Demang Suryo Alam. Anak-anak Ki Demang Suryo Alam ini kemudian berusaha membalas dendam, namun Suromenggolo yang setia selalu tampil menjadi penyelamat, hingga ia diangkat menjadi Patih.",Laga
Neraka perut bumi,"Dalam pengembaraannya sampailah Barda Mandrawata, Si Buta Dari Gua Hantu. Disebuah desa dimana rakyatnya tidak pernah merasa tentram karena ulah Sang penguasa Desa, Raden Karna yang memperbudak penduduk desa terutama kaum wanita untuk dipekerjakan di Pendulangan Intan. Dan dengan seenaknya pula Raden Karna mengambil gadis-gadis cantik untuk dijadikan gundiknya. Sebenarnya hal ini dilakukannya untuk melampiaskan kekecewaannya karena cintanya ditolak Sari, gadis tercantik di desa itu. Cara apapun ditempuhnya untuk mendapatkan gadis itu, maka ketika kesabarannya habis Raden Karna mengerahkan anak buahnya untuk “menjemput “ Sari. Tepat saat itu si Buta yang telah menyelamatkan Sari dan adiknya dari bahaya ketika mereka ada dirumah orang tua Sari. Kembali Si Buta menyelamatkan Sari dari maksud jahat Raden Karna Cs hingga mereka pulang dengan tangan hampa. Raden Karna yang emosi menyerang Si Buta dengan ilmu gaib-nya sehingga terjadi perkelahian dengan ilmu gaib. Kekuatan mereka yang seimbang membuat Raden Karna penasaran. Raden Karna berbuat licik dengan menculik Sari sebagai sandera, hingga Si Buta dapat ditangkap dan dikurung dalam Goa didasar sumur maut, dimana Si BUta diserang makhluk-makhluk aneh. Berbagai tantangan dapat dihadapi Si Buta dengan ilmunya dan kebersihan hatinya. Akhirnya Si Buta berhasil keluar dari neraka perut bumi. Si Buta muncul dipelataran rumah Raden Karna yang sedang mengadakan perta perkawianan Raden Karna dengan Sari yang masih dipengaruhi ilmu hitam. Pesta yang dilakukan dekat Patung Berhala “ Sesembahan” mereka yang hancur berantakan. Anak buah Raden Karna menyerang Si Buta sedangkan Raden Karna melarikan Sari. Setelah anak buah Raden Karna dapat dilumpuhkan dan semua berhala dihancurkan, Si Buta mengejar dan menyelamatkan Sari dari niat jahat Raden Karna.",Laga
Pembalasan,"Setelah si Pitung gugur, muncullah Jiih yang sepak terjangnya tak jauh beda dengan si Pitung, merepotkan Kompeni, sebagai pendekar baru yang menuntut balas. Untuk bisa menangkap Jiih, Kompeni menangkap Siti (Rina Hassim), pacar Jiih. Jiih tak kehabisan akal. Ia culik juga istri Scott Heyne (A. Hamid Arief). Terjadilah pertukaran tawanan. Kesempatan ini dipakai Jiih untuk menghabisi nyawa Demang Mester (Muni Cader) dan kaki tangannya, sementara Scott Heyne melarikan diri",Laga
Angling dharma,Menceritakan kisah seorang pejuang bernama Angling Dharma (Anto Wijaya) berkeliaran di tanah Jawa dan menyelamatkan seorang gadis putri seorang raja dari belenggu makhluk gaib. Akhirnya sebagai hadiah dia menjadi suami. Dan kemudian karena kebijaksanaannya ia menjadi raja yang mewarisi tahta mertuanya. Berbagai rintangan dan pemberontakan yang dia hadapi. Bekerjasama dengan para pejuang memilih duel dia melindungi negaranya dari perilaku jahat,Laga
King,Kisah perjuangan dan perjalanan panjang seorang anak bernama Guntur dalam meraih cita-citanya menjadi seorang juara bulu tangkis sejati seperti idola Guntur dan ayahnya Liem Swie King. Ayah Guntur adalah seorang komentator pertandingan bulu tangkis antar kampung yang juga bekerja sebagai pengumpul bulu angsa bahan untuk pembuatan shuttlecock. Dia sangat mencintai bulu tangkis dan dia menularkan semangat dan kecintaannya itu pada Guntur walaupun dia sendiri tidak bisa menjadi seorang juara bulu tangkis. Mendengar cerita ayahnya tentang ”KING” sang idola Guntur bertekad untuk dapat menjadi juara dunia. Dengan segala keterbatasan dan kendala yang ada dihadapannya sebagai sahabat setianya Raden pun selalu berusaha membantu Guntur walaupun kadang bantuan Raden tersebut justru seringkali menyusahkannya. Namun dengan semangat yang tinggi tanpa mengenal lelah dan pengorbanan berat yang harus dilakukan Guntur tak henti-hentinya berjuang untuk mendapatkan beasiswa bulu tangkis dan meraih cita-citanya menjadi juara dunia bulu tangkis kebanggaan INDONESIA dan kebanggaan keluarga.,Laga
We Are Moluccans (Cahaya dari Timur),Sani Tawainella (Chicco Jericho) ingin menyelamatkan anak-anak di desa konflik agama di Ambon melalui sepakbola. Di tengah kesulitan hidup serta pilihan antara keluarga atau tim sepak bola Sani ditugaskan untuk membawa timnya mewakili Maluku di kejuaraan nasional. Tetapi keputusannya untuk mencampur anak-anak dari agama yang berbeda dalam satu tim sebenarnya menyebabkan perpecahan. Bisakah Sani melalui semua ini dan membawa cerita ke Maluku yang baik?,Laga
Darah garuda - Merah putih II,Film ini adalah sebuah cerita mengenai sekelompok kadet heroik yang bergerilya di pulau Jawa pada tahun 1947. Terpecah oleh rahasia-rahasia mereka pada masa lalu dan konflik yang tajam dalam hal kepribadian kelas sosial dan agama keempat lelaki muda bersatu untuk melancarkan sebuah serangan nekat terhadap kamp tawanan milik Belanda demi menyelamatkan para perempuan yang mereka cintai. Para kadet ini terhubung dengan kantor pusat Jendral Sudirman dimana mereka diberi sebuah tugas sangat rahasia di belakang garis musuh di Jawa Barat: sebuah serangan gaya komando pada lapangan udara vital yang dapat membalikkan perlawanan para pemberontak melawan kezaliman yang telah dilakukan Jendral Van Mook pada Agustus 1947. Menembus dalam ke hutan mereka bertemu dengan kelompok lain dari separatis Islam juga sekutu baru maupun yang potensial berkhianat: mata-mata kolonial dengan pangkatnya sendiri dan sekutu orang-orang sipil dari jalanan; dan musuh lama yang bertanggung jawab atas intelijen Belanda. Terkepung baik oleh musuh dari luar maupun dari dalam para pahlawan harus bersatu dan saling percaya karena mereka berjuang demi mengejar satu tujuan: Kemerdekaan.,Laga
Final Score,Richard Brown seorang veteran Perang Vietnam yang didekorasi sekarang tinggal di Indonesia menemukan bahwa orang-orang bersenjata menyerbu rumahnya membunuh putranya Bobby (bersiap untuk merayakan ulang tahunnya yang ke-8) dan memperkosa dan membunuh istrinya Florinda. Membalas balas dendam dia mulai melacak penjahatnya belajar dalam proses bahwa mereka ada di dalam mempekerjakan saingan bisnis bernama Hawk. Pada satu titik dia ditangkap dipukuli dan disiksa tetapi kemudian dia diselamatkan oleh Julia sekretaris pribadi Hawk yang juga berusaha membalas dendam pada majikannya karena menyebabkan kematian adiknya. Brown akhirnya menemukan dan menghadapkan Hawk di kompleks benteng milik Hawk's.,Laga
Hearts of Fredom,Setelah menyelesaikan misi yang berakhir tragis dengan kehilangan anggota kelompok ini kesetiaan kelompok ini kembali diuji dengan mundurnya pimpinan mereka Amir (Lukman Sardi) dari Angkatan Darat. Tanpa pemimpin dan dengan dirundung kesedihan karena kehilangan mereka para kadet membawa dendam mereka dalam perjalanan misi mereka ke Bali tempat Dayan yang bisu (T. Rifnu Wikana) tinggal untuk membalas dendam kepada Belanda. Mereka dikirim ke Bali untuk membunuh Kolonel Raymer (Michael Bell aktor berbakat dari Inggris yang meninggal April lalu) yang telah membunuh keluarga Tomas (Donny Alamsyah) di awal trilogi ini. Tomas telah dipilih sebagai pemimpin baru dari kelompok kadet ini. Menghadapi meriam kapal perang Belanda Marius yang playboy dan peminum (Darius Sinathrya) harus mengatasi rasa takutnya karena persaingannya dengan Tomas untuk memperebutkan Senja seorang gadis berdarah biru (Rahayu Saraswati). Sesampainya di Bali kelompok taruna ini menyelamatkan Dayu (Ranggani Puspandya) dari kekejaman kelompok milisi KNIL Kolonel Raymer tetapi salah satu dari kelompok kadet ini hampir saja mati terbunuh. Saat teman mereka sedang berjuang antara hidup dan mati kelompok kadet ini bertemu dengan pemimpin pemberontak bawah tanah Wayan Suta (Nugie). Tomas bentrok dengan pimpinan mereka terdahulu Amir (Lukman Sardi) saat mereka merencanakan serangan terakhir untuk melawan milisi Raymer yang menimbulkan pertanyaan: Sejauh mana revolusi ini bisa menghancurkan kejahatan dan tetap mempertahankan idealismenya?,Laga
Komando Samber Nyawa,Peleton Serma Hasyim dari Kompi Letnan Widodo adalah pasukan yang terdiri dari orang-orang pemberani. Untuk menggantikan anak buah Sersan Hasyim yang gugur maka didatangkan Kopral Abimanyu. Abimanyu suka berpakaian perlente tidak banyak bicara dan tidak disukai Serma Hasyim. Hasyim mengira Abimanyu cuma pandai bersolek dan tidak pandai bertempur. Kenyataannya lain Abimanyu punya perhitungan matang dan kewaspadaan tinggi. Hal ini ia buktikan ketika ia berhasil menyelamatkan pasukan dari ancaman ranjau darat. Juga andil dalam membebaskan desa Marga Sari dari serbuan Belanda. Dalam penyerbuan markas Belanda di Gunung Kapur Serma Hasyim mengerahkan semua anak buahnya termasuk Gardini kekasihnya. Tanpa setahu teman-temannya Abimanyu memasang dinamit di sekitar Gunung Kapur. Gunung Kapur itu dapat diledakan dan hancur. Kembali Abimanyu yang dianggap bodoh menunjukan hebatnya sebagai prajurit.,Laga
Menumpas teroris,Rencana Santoso (Yoseano Waas) dan bandit Ghozal (El Manik) membom pabriknya untuk mendapat santunan asuransi gagal karena ada mahasiswa yang sedang mencoba alat detektornya. Saat Ghozal memasuki pabrik alarm berbunyi dan satpam bertindak sigap baku tembakpun terjadi. Ghozal lolosmembajak helicopter dan menyandera sebuah rumah sakit. Ia dikepung polisi dan akhirnya menyerahkan diri ke polisi.,Laga
